Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 250: px=-2.188320, py=0.726852, pz=-0.274726
Cuerpo 251: px=-2.246135, py=0.749096, pz=-0.095857
Cuerpo 252: px=-2.366082, py=0.158282, pz=-0.020354
Cuerpo 253: px=-2.339729, py=0.154371, pz=0.179063
Cuerpo 254: px=-2.258344, py=0.142855, pz=0.330519
Cuerpo 255: px=-2.091565, py=0.121176, pz=0.490594
Cuerpo 256: px=-1.916469, py=0.098359, pz=0.575345
Cuerpo 257: px=-1.718090, py=0.074715, pz=0.601752
Cuerpo 258: px=-1.481439, py=0.050706, pz=0.578504
Cuerpo 259: px=-1.315838, py=0.029240, pz=0.515040
Cuerpo 260: px=-1.197673, py=0.000187, pz=0.443355
Cuerpo 261: px=-1.062001, py=-0.046148, pz=0.323089
Cuerpo 262: px=-0.953122, py=-0.080614, pz=0.165812
Cuerpo 263: px=-0.914370, py=-0.057336, pz=0.028835
Cuerpo 264: px=-0.917446, py=-0.015756, pz=-0.056148
Cuerpo 265: px=-0.975068, py=-0.012623, pz=-0.183790
Cuerpo 266: px=-1.109231, py=-0.009550, pz=-0.359490
Cuerpo 267: px=-1.247781, py=-0.011352, pz=-0.466334
Cuerpo 268: px=-1.373925, py=0.002763, pz=-0.531718
Cuerpo 269: px=-1.590262, py=0.037833, pz=-0.585251
Cuerpo 270: px=-1.815515, py=0.073625, pz=-0.587103
Cuerpo 271: px=-1.968335, py=0.099848, pz=-0.552933
Cuerpo 272: px=-2.143567, py=0.126777, pz=-0.447252
Cuerpo 273: px=-2.299585, py=0.148789, pz=-0.253013
Cuerpo 274: px=-2.364815, py=0.157900, pz=-0.063958
Cuerpo 275: px=-2.324754, py=-0.486137, pz=0.006903
Cuerpo 276: px=-2.290221, py=-0.480496, pz=0.189858
Cuerpo 277: px=-2.179216, py=-0.462185, pz=0.382083
Cuerpo 278: px=-2.045772, py=-0.441090, pz=0.497789
Cuerpo 279: px=-1.864550, py=-0.413328, pz=0.572176
Cuerpo 280: px=-1.663283, py=-0.382704, pz=0.603477
Cuerpo 281: px=-1.488870, py=-0.352096, pz=0.579421
Cuerpo 282: px=-1.302591, py=-0.315459, pz=0.516784
Cuerpo 283: px=-1.134386, py=-0.298429, pz=0.414606
Cuerpo 284: px=-0.997903, py=-0.301786, pz=0.285953
Cuerpo 285: px=-0.926997, py=-0.291728, pz=0.181818
Cuerpo 286: px=-0.894676, py=-0.264268, pz=0.092056
Cuerpo 287: px=-0.903449, py=-0.221791, pz=-0.036448
Cuerpo 288: px=-0.973042, py=-0.241278, pz=-0.207626
Cuerpo 289: px=-1.099862, py=-0.269740, pz=-0.365732
Cuerpo 290: px=-1.230023, py=-0.288084, pz=-0.464605
Cuerpo 291: px=-1.355195, py=-0.313960, pz=-0.530537
Cuerpo 292: px=-1.542831, py=-0.347201, pz=-0.581834
Cuerpo 293: px=-1.733761, py=-0.375619, pz=-0.594177
Cuerpo 294: px=-1.926539, py=-0.410190, pz=-0.547793
Cuerpo 295: px=-2.111337, py=-0.447081, pz=-0.440549
Cuerpo 296: px=-2.238134, py=-0.471206, pz=-0.291610
Cuerpo 297: px=-2.315547, py=-0.484699, pz=-0.083376
Cuerpo 298: px=-2.098615, py=-1.097057, pz=-0.018835
Cuerpo 299: px=-2.072884, py=-1.083699, pz=0.192222
Cuerpo 300: px=-2.000902, py=-1.044455, pz=0.334235
Cuerpo 301: px=-1.850994, py=-0.962433, pz=0.491067
Cuerpo 302: px=-1.680617, py=-0.869150, pz=0.577466
Cuerpo 303: px=-1.528260, py=-0.786896, pz=0.594186
Cuerpo 304: px=-1.366430, py=-0.706844, pz=0.573849
Cuerpo 305: px=-1.187030, py=-0.624468, pz=0.505917
Cuerpo 306: px=-1.031100, py=-0.549682, pz=0.401787
Cuerpo 307: px=-0.933166, py=-0.499561, pz=0.303712
Cuerpo 308: px=-0.865874, py=-0.453357, pz=0.195069
Cuerpo 309: px=-0.831712, py=-0.430642, pz=0.104207
Cuerpo 310: px=-0.829986, py=-0.434621, pz=-0.021813
Cuerpo 311: px=-0.892957, py=-0.467471, pz=-0.210983
Cuerpo 312: px=-0.996892, py=-0.508712, pz=-0.351860
Cuerpo 313: px=-1.134369, py=-0.556956, pz=-0.459264
Cuerpo 314: px=-1.276935, py=-0.635183, pz=-0.538827
Cuerpo 315: px=-1.400100, py=-0.714022, pz=-0.582787
Cuerpo 316: px=-1.575946, py=-0.815834, pz=-0.589217
Cuerpo 317: px=-1.788146, py=-0.932148, pz=-0.520183
Cuerpo 318: px=-1.928157, py=-1.006919, pz=-0.423268
Cuerpo 319: px=-2.032114, py=-1.061529, pz=-0.273028
Cuerpo 320: px=-2.095114, py=-1.094812, pz=-0.092927
Cuerpo 321: px=-1.746215, py=-1.610911, pz=0.018963
Cuerpo 322: px=-1.721790, py=-1.586010, pz=0.187008
Cuerpo 323: px=-1.662541, py=-1.527747, pz=0.342320
Cuerpo 324: px=-1.571074, py=-1.436612, pz=0.461823
Cuerpo 325: px=-1.442219, py=-1.306918, pz=0.556141
Cuerpo 326: px=-1.287665, py=-1.151042, pz=0.594228
Cuerpo 327: px=-1.126565, py=-0.989475, pz=0.570853
Cuerpo 328: px=-1.006672, py=-0.875171, pz=0.510552
Cuerpo 329: px=-0.884532, py=-0.767496, pz=0.412090
Cuerpo 330: px=-0.782248, py=-0.684075, pz=0.298207
Cuerpo 331: px=-0.734258, py=-0.636320, pz=0.207185
Cuerpo 332: px=-0.700468, py=-0.608706, pz=0.097184
Cuerpo 333: px=-0.690194, py=-0.625308, pz=-0.039289
Cuerpo 334: px=-0.749099, py=-0.665672, pz=-0.210262
Cuerpo 335: px=-0.829066, py=-0.715322, pz=-0.333339
Cuerpo 336: px=-0.931693, py=-0.797135, pz=-0.437587
Cuerpo 337: px=-1.091255, py=-0.946987, pz=-0.543186
Cuerpo 338: px=-1.221603, py=-1.087220, pz=-0.586425
Cuerpo 339: px=-1.350191, py=-1.225667, pz=-0.579374
Cuerpo 340: px=-1.483648, py=-1.358310, pz=-0.528096
Cuerpo 341: px=-1.594228, py=-1.465609, pz=-0.431330
Cuerpo 342: px=-1.687476, py=-1.556244, pz=-0.277882
Cuerpo 343: px=-1.741334, py=-1.607119, pz=-0.052045
Cuerpo 344: px=-1.258774, py=-2.016489, pz=-0.043738
Cuerpo 345: px=-1.243230, py=-1.988508, pz=0.195864
Cuerpo 346: px=-1.207081, py=-1.923450, pz=0.334422
Cuerpo 347: px=-1.138283, py=-1.802801, pz=0.463257
Cuerpo 348: px=-1.033300, py=-1.622197, pz=0.569075
Cuerpo 349: px=-0.944939, py=-1.468149, pz=0.597085
Cuerpo 350: px=-0.841872, py=-1.289552, pz=0.577704
Cuerpo 351: px=-0.719750, py=-1.089519, pz=0.501551
Cuerpo 352: px=-0.622345, py=-0.943352, pz=0.388698
Cuerpo 353: px=-0.564936, py=-0.867124, pz=0.302706
Cuerpo 354: px=-0.531207, py=-0.811056, pz=0.208468
Cuerpo 355: px=-0.502518, py=-0.776294, pz=0.077289
Cuerpo 356: px=-0.499320, py=-0.780609, pz=-0.035855
Cuerpo 357: px=-0.532628, py=-0.820476, pz=-0.180777
Cuerpo 358: px=-0.589766, py=-0.902238, pz=-0.324410
Cuerpo 359: px=-0.661018, py=-1.028361, pz=-0.444275
Cuerpo 360: px=-0.765896, py=-1.191136, pz=-0.540383
Cuerpo 361: px=-0.890557, py=-1.383260, pz=-0.588596
Cuerpo 362: px=-0.985376, py=-1.540329, pz=-0.588127
Cuerpo 363: px=-1.073468, py=-1.692222, pz=-0.535781
Cuerpo 364: px=-1.173566, py=-1.866766, pz=-0.396837
Cuerpo 365: px=-1.231036, py=-1.968053, pz=-0.246159
Cuerpo 366: px=-1.254329, py=-2.008973, pz=-0.120059
Cuerpo 367: px=-0.661728, py=-2.290856, pz=0.028759
Cuerpo 368: px=-0.655474, py=-2.264772, pz=0.180403
Cuerpo 369: px=-0.639214, py=-2.193563, pz=0.316296
Cuerpo 370: px=-0.604414, py=-2.046998, pz=0.467019
Cuerpo 371: px=-0.562504, py=-1.865823, pz=0.562862
Cuerpo 372: px=-0.514811, py=-1.660878, pz=0.597111
Cuerpo 373: px=-0.450065, py=-1.415792, pz=0.570321
Cuerpo 374: px=-0.396169, py=-1.232079, pz=0.498654
Cuerpo 375: px=-0.352369, py=-1.077114, pz=0.389866
Cuerpo 376: px=-0.328350, py=-0.969369, pz=0.286676
Cuerpo 377: px=-0.314318, py=-0.919728, pz=0.206601
Cuerpo 378: px=-0.315607, py=-0.875447, pz=0.078972
Cuerpo 379: px=-0.305361, py=-0.880004, pz=-0.045551
Cuerpo 380: px=-0.288691, py=-0.942102, pz=-0.190402
